epoch,train_loss,val_loss,lr,epoch_time_sec
1,0.00015326120873198048,4.4449754125580986e-05,0.0003,52.81
2,3.697092622469343e-05,5.001284314982157e-05,0.0003,48.79
3,2.802323103573232e-05,2.81433817925489e-05,0.0003,49.13
4,2.388460400638523e-05,2.803376150995133e-05,0.0003,49.12
5,2.0925236507617764e-05,2.116526266911387e-05,0.0003,49.36
6,1.898274836371485e-05,2.3152113929926692e-05,0.0003,49.79
7,1.742259527467917e-05,2.0573630377878716e-05,0.0003,49.0
8,1.588673822945066e-05,1.6465562074312877e-05,0.0003,49.67
9,1.5023855217919125e-05,1.9976240795838703e-05,0.0003,49.18
10,1.4070996418004744e-05,1.773759227302165e-05,0.0003,49.84
11,1.3367247080912053e-05,1.5638784810099322e-05,0.0003,50.33
12,1.2531129043396271e-05,1.6450313665917736e-05,0.0003,49.84
13,1.1992704121321704e-05,1.801187740766902e-05,0.0003,50.38
14,1.1518104826154456e-05,1.4957345434643916e-05,0.0003,49.01
15,1.106276397820591e-05,1.6626384905186594e-05,0.0003,49.24
16,1.049788590851766e-05,1.7058348423452936e-05,0.0003,48.72
17,1.0351542072726156e-05,1.5079504435481442e-05,0.0003,48.42
18,1.0951911485425742e-05,1.4972117158723571e-05,0.0003,49.03
19,9.69445541034751e-06,1.5089581359996245e-05,0.0003,49.55
20,9.311517483733247e-06,1.6274912065207204e-05,0.0003,48.97
21,9.089799895058358e-06,1.5441595346439102e-05,0.0003,48.74
22,8.884350423932737e-06,1.531325886288834e-05,0.0003,48.34
23,8.631742217175843e-06,1.597481395975323e-05,0.0003,49.14
24,8.438490992316418e-06,1.59298266013911e-05,0.0003,49.85
25,8.17513646975494e-06,1.5151770307117242e-05,0.0003,49.8
26,7.991993178322773e-06,1.6210219038328032e-05,0.0003,47.94
27,7.811327462366819e-06,1.767462695005676e-05,0.0003,49.08
28,7.644971768037605e-06,1.535050550126869e-05,0.0003,49.14
29,7.462724223867623e-06,1.6226427698297606e-05,0.0003,48.3
30,7.346366231519847e-06,1.5641566495364342e-05,0.0003,48.78
31,7.165308302385531e-06,1.5880360356050542e-05,0.0003,49.04
32,7.012962794088859e-06,1.5843489039448935e-05,0.0003,47.97
33,6.907763401993095e-06,1.538171043473924e-05,0.0003,48.18
34,6.7260281079583585e-06,1.5480677042756237e-05,0.0003,49.3
35,6.583555367267216e-06,1.5361007020594776e-05,0.0003,49.0
36,6.5709598006944875e-06,1.6087013092122994e-05,0.0003,49.14
37,6.382873039055904e-06,1.5028346434866479e-05,0.0003,49.44
38,6.221915164502292e-06,1.570016436956164e-05,0.0003,49.92
39,6.18450997145476e-06,1.6268599060641853e-05,0.0003,50.17
40,6.082907019005726e-06,1.6584144239730615e-05,0.0003,49.91
